Date,Close,High,Low,Open,Volume,EMA_20,EMA_50,RSI,MACD,MACD_SIGNAL,BB_HIGH,BB_LOW,Trend_Regime,BB_Width,BB_Width_Avg,Volatility_Regime,Volume_Avg,Volume_Regime
2023-07-12,1263.468505859375,1279.103541836806,1260.683840337917,1262.806571231475,18733835,1190.3825806155537,1155.117109509454,77.81480558665392,28.143914856885655,18.549828453018844,1254.8927060287688,1110.024615748575,Bullish,144.86809028019388,76.85611116552363,High,13201408.65,High
2023-07-13,1252.1702880859375,1277.734103452716,1249.54549133918,1270.8410235059798,14682934,1196.2671241841615,1158.9231165124534,72.4104185243818,29.51666844339252,20.74319645109358,1264.801796278795,1108.8414654399548,Bullish,155.96033083884026,81.72867353208612,High,13271686.35,High
2023-07-14,1251.1202392578125,1260.3414396091937,1243.9988277461352,1255.365580017741,15124144,1201.4912303816525,1162.5386899534478,71.91054398216964,30.1720507662651,22.628967314127888,1273.2182644493726,1109.0139743201587,Bullish,164.20429012921386,86.83932330124424,High,13437218.85,High
2023-07-17,1276.6842041015625,1285.060901535764,1245.3228457945552,1253.9963391795925,22220040,1208.6524659740246,1167.014984625923,76.21540489961284,32.38097655358706,24.579369162019724,1285.9137558296436,1106.3294570609812,Bullish,179.5842987686624,92.3633399682358,High,13339641.9,High
2023-07-18,1287.52587890625,1295.286283587151,1274.995004828538,1285.9509768018002,25867313,1216.1642195866175,1171.740902048681,77.77130802135562,34.607465385012574,26.584988406618297,1299.1455595765171,1105.3614228453578,Bullish,193.78413673115938,98.49874608216305,High,14293079.85,High
2023-07-19,1297.294921875,1303.7543992835303,1276.8210735612868,1291.8854597114334,39122156,1223.8909531378922,1176.664589100693,79.09812885566923,36.73677527169912,28.61534577963446,1312.5865554473592,1104.919169650297,Bullish,207.66738579706225,105.25679965430436,High,15903132.85,High
2023-07-20,1295.7239990234375,1301.2137583797864,1276.0149599670335,1276.0149599670335,38717624,1230.7321956031824,1181.333585568252,78.28887284149121,37.86106951075408,30.464490525858388,1323.8507105807682,1106.1679783840757,Bullish,217.68273219669254,112.56167502525409,High,17490933.9,High
2023-07-21,1255.6134033203125,1293.2755748788927,1248.1205739980844,1290.3576048302098,30249238,1233.1018344333854,1184.2465195977445,61.09992354284767,35.110756000809715,31.393743620848653,1326.7686441403812,1113.0666708010249,Bullish,213.7019733393563,119.93627165764569,High,18622437.5,High
2023-07-24,1230.216796875,1243.8424839995955,1221.2649818512405,1227.0515368964086,23727866,1232.8270689516346,1186.0492755694015,53.14377390904042,30.529889277998564,31.220972752278637,1325.6937084213105,1122.3657886490018,Bullish,203.32791977230863,126.795224556479,High,19477402.3,High
2023-07-25,1229.425537109375,1239.0203294862108,1226.556952345633,1233.4810641733905,12026020,1232.5031135380862,1187.7503054337144,52.912594361700044,26.529851730071183,30.282748547837148,1322.4613573114684,1134.6196729619692,Bullish,187.84168434949925,132.86388875430924,High,19446645.35,Normal
2023-07-26,1249.4063720703125,1259.6936470475673,1229.029726310642,1229.029726310642,12911012,1234.1129476840124,1190.1681903998556,57.89367516260721,24.68749744604247,29.163698327478212,1318.9199470265369,1149.1396110789317,Bullish,169.78033594760518,138.0184968177019,High,19607722.65,Normal
2023-07-27,1237.7838134765625,1255.06933898356,1231.6758304667376,1253.2889256301971,17226898,1234.4625539499696,1192.035469736197,54.29570858977285,22.035562806392814,27.738071223261137,1314.876208354459,1161.490905903353,Bullish,153.3853024511061,142.45270255514959,High,19901367.25,Normal
2023-07-28,1250.2225341796875,1257.6412248805652,1236.7204929547063,1242.4081558253793,20827852,1235.963504448038,1194.3173154006477,57.35061186824546,20.698981332199537,26.33025324504882,1311.3436893243868,1173.6276241521757,Bullish,137.71606517221107,146.21466932578033,Low,20385182.1,High
2023-07-31,1260.8065185546875,1263.1062644351005,1245.3261593927457,1250.222567835286,8551174,1238.3295057915286,1196.9247351321787,59.812079749825024,20.260222733248384,25.11624714268873,1311.3590511126797,1180.2870792584142,Bullish,131.07197185426548,149.38219848577103,Low,20205021.45,Normal
2023-08-01,1242.9769287109375,1265.628689467438,1239.0697997346808,1263.6503718598296,9536632,1238.7721174981389,1198.7307035078163,54.1431422231208,18.26327680370514,23.74565307489202,1307.5201265540468,1190.248122957672,Bullish,117.27200359637482,151.81189369264578,Low,20278770.9,Normal
2023-08-02,1229.697509765625,1242.383422770223,1218.4458286875906,1240.998576334311,12748214,1237.9078691426614,1199.945088066946,50.31791033674411,15.431262648981829,22.082774989709986,1301.7054547805135,1201.0509905319864,Bullish,100.65446424852712,153.44897410864246,Low,20403778.5,Normal
2023-08-03,1224.529052734375,1236.893537376658,1215.700883147937,1224.2323775511124,10168350,1236.633696151396,1200.9091651127276,48.87070732897352,12.62429472869735,20.191078937507456,1299.6516511880518,1205.099654964292,Bullish,94.55199622375972,154.33709345753118,Low,19956296.65,Normal
2023-08-04,1241.1717529296875,1244.3617658987637,1222.4024889169664,1235.8550243989196,22885610,1237.065892035043,1202.4880901251574,53.50769072522517,11.60885953916977,18.47463505783992,1296.0604347841752,1212.5850974423872,Bullish,83.47533734178796,154.40832396675555,Low,20431813.8,High
2023-08-07,1248.244384765625,1250.494624650405,1238.9215138972052,1246.834785043854,5982870,1238.1305103903362,1204.2824546208622,55.36048487161317,11.245194513897331,17.028746949051406,1296.0540208827133,1212.5618482579116,Bullish,83.4921726248017,153.33208488562815,Low,19068956.5,Normal
2023-08-08,1240.7264404296875,1253.486611833248,1236.225840784307,1250.2965991690858,9844072,1238.3777418226553,1205.7116305349336,52.94516265411879,10.2323993531802,15.669477429877166,1295.2285516764375,1211.2523565266874,Bullish,83.97619514975008,151.1999343406589,Low,18557692.7,Normal
2023-08-09,1248.911865234375,1250.7912910864598,1227.1009863432985,1238.8472469851745,11486586,1239.3809916713906,1207.4057573858922,55.23518031314519,9.975258691987165,14.530633682299165,1294.2703292374752,1210.75491490315,Bullish,83.51541433432521,148.13230054336546,Low,18195330.25,Normal
2023-08-10,1254.475830078125,1261.177404750792,1240.6276075945868,1248.788167272386,15470598,1240.8185953291747,1209.2516425895092,56.77509424181777,10.103966096628255,13.645300165164985,1294.3939182673262,1210.8618800725176,Bullish,83.53203819480859,144.51088591116388,Low,18234713.45,Normal
2023-08-11,1259.767822265625,1265.55449762201,1242.5565564009414,1252.4975295128647,22179330,1242.6232836088366,1211.232669243475,58.246302155567925,10.511813541471156,13.01860284042622,1294.9338217219208,1211.1867349187044,Bullish,83.74708680321646,140.48802574486402,Low,18587472.75,High
2023-08-14,1274.6546630859375,1277.1523130180672,1248.81289137336,1255.737002454242,9575812,1245.6738911780844,1213.7198062569046,62.14916667874805,11.899113644418549,12.794705001224685,1294.6121080224962,1211.3054945165663,Bullish,83.30661350592982,135.6741414817274,Low,17955261.35,Normal
2023-08-16,1273.6160888671875,1277.3996937112483,1261.672044700447,1261.672044700447,10203112,1248.3350528627611,1216.0686800847589,61.71575138762298,12.767578019369694,12.789279604853688,1292.0053710471018,1212.5212524880546,Bullish,79.48411855904715,129.95914057312177,Low,17172051.3,Normal
2023-08-17,1255.2425537109375,1275.0752365265755,1252.695518025622,1269.6348629683328,13673744,1248.992910086397,1217.6049104230403,54.47761332347648,11.8368042491677,12.598784533716492,1284.1894055570642,1216.131981161686,Bullish,68.05742439537812,122.97864250303758,Low,15899630.7,Normal
2023-08-18,1264.5406494140625,1274.827925208279,1240.6771930744892,1251.9041214413387,18639978,1250.4736471652222,1219.4455276383744,57.21246679011605,11.714401616362466,12.421907950245686,1276.42926210599,1220.7737896518224,Bullish,55.655472454167466,114.87727951591133,Low,14895748.4,High
2023-08-21,1250.74267578125,1268.3374245054663,1248.5836072167706,1260.6443643964944,9221746,1250.4992689381772,1220.6728667812324,52.200694805939285,10.384311610078612,12.014388682212273,1276.0207674388623,1220.695211565044,Bullish,55.3255558738183,106.95845864263443,Low,13844373.8,Normal
2023-08-22,1250.44482421875,1259.6517042081298,1240.319812990251,1249.204008079304,7713044,1250.4940837268034,1221.84039452388,52.09460768633921,9.200118328259803,11.45153461142178,1275.7547647366066,1222.9840170016748,Bullish,52.770747734931774,99.43060004076557,Low,13043632.7,Normal
2023-08-23,1251.8345947265625,1262.0838090060652,1249.228880766707,1252.8272476636505,9517952,1250.6217514410662,1223.0166376690834,52.57887606228578,8.27835179950057,10.81689804903754,1275.245252875009,1225.7344346249909,Bullish,49.51081825001825,92.51405673579151,Low,12918229.3,Normal
2023-08-24,1230.7904052734375,1260.6195534341234,1226.4227081001463,1260.6195534341234,14140020,1248.733051806054,1223.3214913006266,45.13809200763537,5.7830910949583085,9.810136658221694,1275.7648373621466,1223.3532534581657,Bullish,52.411583903980954,86.64561913361031,Low,12979679.7,High
2023-08-25,1225.1075439453125,1243.2978613921046,1212.32713678729,1218.9778633049934,22222400,1246.4830034383644,1223.3915325808105,43.35384663778662,3.3088769202679487,8.509884710630946,1276.799604053837,1221.0508598133506,Bullish,55.7487442404863,81.76379122307932,Low,13229454.8,High
2023-08-28,1212.897705078125,1232.87484375,1206.6192242506277,1226.9189266304347,12580826,1243.2844035945325,1222.9800099336464,39.720907666106,0.358677792056369,6.879643326916031,1279.0325597516503,1215.0854212053807,Bullish,63.94713854626957,78.07534489178224,Low,12817103.5,Normal
2023-08-29,1201.2838134765625,1217.7121468384466,1195.228533637356,1217.0173382536789,16876644,1239.2843473928208,1222.1291787000353,36.58085563872922,-2.883283564838848,4.927057948565055,1281.07142194646,1207.094288502759,Bullish,73.97713344370118,75.22060297125402,Low,13233377.0,High
2023-08-30,1200.142333984375,1212.525656094156,1198.628513903965,1207.066064519438,12168946,1235.5565365920163,1221.2669494954996,36.27730737493276,-5.4814820396763935,2.845349950916765,1283.6030422680562,1200.279208708506,Bullish,83.32383355955017,73.5231944694128,High,13364992.7,Normal
2023-08-31,1194.6578369140625,1203.5917135507275,1191.133870437995,1202.599060591098,21638600,1231.6614223369731,1220.2234548844629,34.78381013509724,-7.8921503313868016,0.6978498944560521,1286.455740742912,1193.922542948494,Bullish,92.5331977944179,73.11713114670734,High,13809512.0,High
2023-09-01,1197.4619140625,1203.9141576589248,1192.0023233270636,1194.4343955405525,18112842,1228.4043263108329,1219.3308454404644,36.229343434808186,-9.467224458847111,-1.335164976204581,1288.3266668417032,1189.3449029825156,Bullish,98.9817638591876,73.33861952847873,High,14206736.6,High
2023-09-04,1196.494140625,1202.921543874001,1193.8140262826475,1197.4619529612137,9347626,1225.3652610074205,1218.4352883888776,35.933311648775245,-10.670569596927637,-3.202245900349192,1289.3926053968598,1183.8112031968903,Bullish,105.58140219996949,74.4439227713878,High,13529837.4,Normal
2023-09-05,1202.89697265625,1208.033879307401,1197.362859390741,1201.1101487589583,8675876,1223.2254240215943,1217.8259426738728,39.457977120043296,-10.980992211484365,-4.7579951625762265,1288.799102521652,1179.8699648611605,Bullish,108.9291376604915,75.7157710231723,High,13664487.7,Normal
2023-09-06,1205.4281005859375,1209.125708635972,1199.745186611218,1201.6560920331103,8200370,1221.530440837246,1217.339752788071,40.84350332942523,-10.897147961130711,-5.9858257222871245,1288.3627579491372,1176.7764754493005,Bullish,111.58628249983667,77.09627539067662,High,13582302.6,Normal
2023-09-07,1207.06591796875,1210.1679582595823,1196.6430625915527,1201.9537313347682,13652572,1220.152867230723,1216.9368573049608,41.77209555173321,-10.576621900132068,-6.903984957856114,1286.798165297781,1174.1564733740938,Bullish,112.64169192368718,78.55258927014472,High,13690601.9,Normal
2023-09-08,1215.1064453125,1218.9778160313297,1202.5742018862825,1211.0365924741222,23109288,1219.6722556194634,1216.8650764425113,46.2341308958491,-9.563556600986658,-7.435899286482223,1284.0840716929845,1172.9336285023282,Bullish,111.15044319065623,79.9335095199371,High,14072536.4,High
